ORDERCODE|RECORD_TYPE|PRODUCT_ID|SKU|BRAND|MODEL_NAME|QUANTITY|STREET_PRICE|PRICE|WEIGHT|PICTURE_1|PICTURE_2|PICTURE_3|SEX|CAT|SUBCAT|MODEL_ID|BARCODE|MODEL_SIZE|COLOR_CODE|COLOR|MADE_IN|MATERIAL|EAN|STAGIONE|Titel_ITA|Description_ITA|Titel_EN|Description_EN|Titel_ES|Description_ES|Titel_FR|Description_FR|Titel_DE|Description_DE|Lunghezza|Profondita|Altezza|Product_url|Titel_BG|Description_BG|Titel_PL|Description_PL|Titel_CZ|Description_CZ|Titel_SK|Description_SK|Titel_HU|Description_HU|Titel_RO|Description_RO
INM001021055_VE675|PRODUCT|31373|INM001021055_VE675|"HARMONT &amp; BLAINE"|INM001021055_VE675|369|65.00|14.98||https://cdn.stockfirmati.com/catalog/31373/harmont26blainet-shirtmanichecorteuomoverde_1.jpg|https://cdn.stockfirmati.com/catalog/31373/harmont26blainet-shirtmanichecorteuomoverde_2.jpg||uomo|Abbigliamento|T-Shirt||||verde|Verde|INDIA|"100% Cotone"||PE|"HARMONT & BLAINE T-SHIRT MANICHE CORTE UOMO VERDE"|"T-SHIRT MANICHE CORTE, NARROW FIT, GIROCOLLO, RICAMO, LOGO"|"HARMONT &amp; BLAINE GREEN MEN&#39;S SHORT SLEEVE T-SHIRT"|"SHORT SLEEVE T-SHIRT, NARROW FIT, CREW NECK, EMBROIDERY, LOGO"|"CAMISETA MANGA CORTA HOMBRE HARMONT &amp; BLAINE VERDE"|"CAMISETA DE MANGA CORTA, CORTE ESTRECHO, CUELLO REDONDO, BORDADO, LOGO"|"HARMONT &amp; BLAINE T-SHIRT À MANCHES COURTES HOMME VERT"|"T-SHIRT À MANCHES COURTES, COUPE ÉTROITE, COL ROND, BRODERIE, LOGO"|"HARMONT &amp; BLAINE GRÜNES KURZARM-T-SHIRT FÜR HERREN"|"KURZÄRMELIGES T-Shirt, schmale Passform, Rundhalsausschnitt, Stickerei, Logo"||||https://www.stockfirmati.it/d/31373/harmont-blaine/t-shirt/uomo/harmont-blaine-t-shirt-maniche-corte-uomo-verde|"HARMONT &amp; BLAINE GREEN МЪЖКА ТЕНИСКА С КЪС РЪКАВ"|"ТЕНИСКА С КЪС РЪКАВ, ТЯСНА КРОЯ, КРЪГО ДЕКО, БРОДЕРИИ, ЛОГО"|"ZIELONY T-SHIRT MĘSKI Z KRÓTKIM RĘKAWEM HARMONT &amp; BLAINE"|"T-shirt z krótkim rękawem, wąski krój, okrągły dekolt, haft, logo"|||"PÁNSKE TRIČKO S KRÁTKYM RUKÁVOM HARMONT &amp; BLAINE ZELENÉ"|"TRIČKO S KRÁTKYM RUKÁVOM, ÚZKY STRIEH, VÝKRK, VÝŠIVKY, LOGO"|"HARMONT &amp; BLAINE GREEN FÉRFI RÖVID UJJÚ PÓLÓ"|"RÖVID UJJÚ PÓLÓ, SZŰEN FIZETŰ, NYAKOS, HÍMZÉS, LOGO"|"TRIOU BĂRBAȚI VERDE HARMONT &amp; BLAINE CU MÂNECĂ SCURTĂ"|"TRIOC CU MÂNECĂ SCURTĂ, CUIVIRE ÎNgustă, GÂT RUP, BRODERIE, LOGO"
INM001021055_VE675_S|MODEL|31373|INM001021055_VE675|||64|65.00|14.98||||||||106919|8055168634736|S|verde|Verde|||8055168634736|||||||||||||||||||||||||||
INM001021055_VE675_M|MODEL|31373|INM001021055_VE675|||78|65.00|14.98||||||||106920|8055168634743|M|verde|Verde|||8055168634743|||||||||||||||||||||||||||
INM001021055_VE675_L|MODEL|31373|INM001021055_VE675|||76|65.00|14.98||||||||106922|8055168634750|L|verde|Verde|||8055168634750|||||||||||||||||||||||||||
INM001021055_VE675_XL|MODEL|31373|INM001021055_VE675|||90|65.00|14.98||||||||106921|8055168634620|XL|verde|Verde|||8055168634620|||||||||||||||||||||||||||
INM001021055_VE675_2XL|MODEL|31373|INM001021055_VE675|||61|65.00|14.98||||||||106923|8055168634354|2XL|verde|Verde|||8055168634354|||||||||||||||||||||||||||
INM001021055_BL846|PRODUCT|31372|INM001021055_BL846|"HARMONT &amp; BLAINE"|INM001021055_BL846|351|65.00|14.98||https://cdn.stockfirmati.com/catalog/31372/harmont26blainet-shirtmanichecorteuomoblu_1.jpg|https://cdn.stockfirmati.com/catalog/31372/harmont26blainet-shirtmanichecorteuomoblu_2.jpg||uomo|Abbigliamento|T-Shirt||||blu|Blu|INDIA|"100% Cotone"||PE|"HARMONT & BLAINE T-SHIRT MANICHE CORTE UOMO BLU"|"T-SHIRT MANICHE CORTE, NARROW FIT, GIROCOLLO, RICAMO, LOGO"|"HARMONT &amp; BLAINE MEN&#39;S SHORT SLEEVE T-SHIRT BLUE"|"SHORT SLEEVE T-SHIRT, NARROW FIT, CREW NECK, EMBROIDERY, LOGO"|"CAMISETA MANGA CORTA HOMBRE HARMONT &amp; BLAINE AZUL"|"CAMISETA DE MANGA CORTA, CORTE ESTRECHO, CUELLO REDONDO, BORDADO, LOGO"|"HARMONT &amp; BLAINE T-SHIRT À MANCHES COURTES HOMME BLEU"|"T-SHIRT À MANCHES COURTES, COUPE ÉTROITE, COL ROND, BRODERIE, LOGO"|"HARMONT &amp; BLAINE HERREN-KURZARM-T-SHIRT BLAU"|"KURZÄRMELIGES T-Shirt, schmale Passform, Rundhalsausschnitt, Stickerei, Logo"||||https://www.stockfirmati.it/d/31372/harmont-blaine/t-shirt/uomo/harmont-blaine-t-shirt-maniche-corte-uomo-blu|"HARMONT &amp; BLAINE МЪЖКА ТЕНИСКА С КЪС РЪКАВ СИН"|"ТЕНИСКА С КЪС РЪКАВ, ТЯСНА КРОЯ, КРЪГО ДЕКО, БРОДЕРИИ, ЛОГО"|"NIEBIESKI T-SHIRT MĘSKI Z KRÓTKIM RĘKAWEM HARMONT &amp; BLAINE"|"T-SHIRT Z KRÓTKIM RĘKAWEM, WĄSKI KRÓJ, GŁADKI SZYJ, HAFTY, LOGO"|||"PÁNSKE TRIČKO S KRÁTKYM RUKÁVOM HARMONT &amp; BLAINE MODRÁ"|"TRIČKO S KRÁTKYM RUKÁVOM, ÚZKY STRIEH, VÝKRK, VÝŠIVKY, LOGO"|"HARMONT &amp; BLAINE FÉRFI RÖVID UJJÚ PÓLÓ, KÉK"|"RÖVID UJJÚ PÓLÓ, SZŰEN FIZETŰ, NYAKOS, HÍMZÉS, LOGO"|"TRIOU BĂRBAȚI HARMONT &amp; BLAINE, ALBASTRU, mânecă scurtă"|"TRIOC CU MÂNECĂ SCURTĂ, CUIVIRE ÎNgustă, GÂT RUP, BRODERIE, LOGO"
INM001021055_BL846_S|MODEL|31372|INM001021055_BL846|||62|65.00|14.98||||||||106917|8055168616329|S|blu|Blu|||8055168616329|||||||||||||||||||||||||||
INM001021055_BL846_M|MODEL|31372|INM001021055_BL846|||68|65.00|14.98||||||||106918|8055168616312|M|blu|Blu|||8055168616312|||||||||||||||||||||||||||
INM001021055_BL846_L|MODEL|31372|INM001021055_BL846|||78|65.00|14.98||||||||106914|8055168616305|L|blu|Blu|||8055168616305|||||||||||||||||||||||||||
